ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mjj25
2025,05,49956,1,0022,1,1,202402499561002211,1,1,1,1,2,,1,31,1,1,27,12,1993,1,,,,,,,,,,,,,,,,5213,4781,3,5,3,2,1,2,0,12,12,12,12,12,12,72,,72,1,,2,,2,2,2,300,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,1299,,,,,,,,,1299,1299,1299,1,860.796299860541
2025,05,49956,1,0022,1,1,202402499561002212,1,2,2,1,2,,2,40,2,2,11,3,1985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,864.163006894331
2025,05,49956,1,0022,1,1,202402499561002213,1,3,3,1,2,,1,19,3,3,14,11,2005,1,,,,,,,,,,,,,,,,7127,7830,3,4,1,,5,2000,0,9,9,9,9,9,6,51,37,88,1,,2,,2,1,3,750,,,,,,450,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,5,4,,2,2,2,2,2,2,10,7,1,1500,,,,,450,,,,1950,1500,1950,1,710.0179055805085
2025,05,49956,1,0022,1,1,202402499561002214,1,4,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49956,1,0022,1,1,202402499561002215,1,5,3,1,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49956,1,0021,1,1,202402499561002111,1,1,1,1,2,,2,26,1,1,27,8,1998,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,3,1200,20,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,2400,600,,,,,,,,3000,3000,3000,1,864.163006894331
2025,05,49956,1,0021,1,1,202402499561002114,1,2,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49956,1,0021,1,1,202402499561002115,1,3,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49956,1,0019,1,1,202402499561001911,1,1,1,1,2,,1,32,1,1,5,10,1992,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,2,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,2,450,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1949,,,,,,,,,1949,1949,1949,1,860.796299860541
2025,05,49956,1,0019,1,1,202402499561001912,1,2,2,1,2,,2,28,2,2,17,11,1996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,864.163006894331
2025,05,49956,1,0019,1,1,202402499561001914,1,3,3,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49956,1,0018,1,1,202402499561001811,1,1,1,1,2,,2,49,1,1,16,4,1976,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,2,350,90,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1516,390,,,,,,,174,1906,1906,2080,1,720.6007739003278
2025,05,49956,1,0018,1,1,202402499561001812,1,2,3,1,2,,1,18,2,1,8,11,2006,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,9,9,9,9,0,0,9,45,,45,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,792,,,,,,,792,792,792,1,710.0179055805085
2025,05,49956,1,0018,1,1,202402499561001813,1,3,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49847,1,0019,1,1,202502498471001911,1,1,1,1,2,,1,45,1,1,24,2,1980,1,,,,,,,,,,,,,,,,8322,4923,2,,2,2,1,2,0,7,7,7,7,7,7,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,1,,,5862,,,,,,,5862,5862,5862,1,1971.920882851553
2025,05,49847,1,0019,1,1,202502498471001912,1,2,2,1,2,,2,38,2,2,10,9,1986,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,2169.7020624927254
2025,05,49847,1,0019,1,1,202502498471001913,1,3,3,1,2,,1,17,3,3,12,11,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,9333,4923,4,,2,2,1,2,6,0,0,0,0,0,6,12,,,1,,2,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,1782.6813944295216
2025,05,49847,1,0019,1,1,202502498471001914,1,4,3,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49847,1,0016,1,1,202502498471001611,1,1,1,1,2,,1,49,1,1,22,2,1976,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,9,9,9,9,9,9,9,63,,63,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1700,,,,,,,1700,1700,1700,1,1971.920882851553
2025,05,49847,1,0016,1,1,202502498471001612,1,2,2,1,2,,2,35,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,
2025,05,49847,1,0016,1,1,202502498471001613,1,3,3,1,2,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49847,1,0016,1,1,202502498471001614,1,4,3,1,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49847,1,0016,1,1,202502498471001615,1,5,8,1,2,,2,19,5,5,6,1,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,1893.2553815252027
2025,05,49847,1,0015,1,1,202502498471001512,1,1,1,1,2,,1,36,1,1,18,3,1989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,1,11,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,2161.249084134771
2025,05,49847,1,0015,1,1,202502498471001513,1,2,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49847,1,0015,1,1,202502498471001514,1,3,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49797,1,0017,1,1,202405497971001711,1,1,1,1,2,,2,49,1,1,8,7,1975,1,,,,,,,,,,,,,,,,7513,1071,3,5,2,2,1,4,0,4,4,0,4,4,0,16,,16,1,,2,,2,2,2,300,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,2,1,1299,,,,,,,,,1299,1299,1299,1,839.309013417715
2025,05,49797,1,0017,1,1,202405497971001712,1,2,3,1,2,,1,28,2,1,12,12,1996,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,6,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,2,300,60,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,9,1,1299,260,,,,,,,,1559,1559,1559,1,1002.5996631659207
2025,05,49797,1,0015,1,1,202405497971001511,1,1,1,1,2,,1,39,1,1,5,12,1985,1,,,,,,,,,,,,,,,,7111,4100,3,5,3,2,1,3,0,0,0,0,8,8,8,24,,48,2,48,1,1,1,1,2,400,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,1732,,,,,,,,,1732,1732,1732,1,1002.5996631659207
2025,05,49797,1,0015,1,1,202405497971001512,1,2,2,1,2,,2,34,2,2,4,12,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1006.5209850147751
2025,05,49797,1,0015,1,1,202405497971001514,1,3,3,1,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49797,1,0015,1,1,202405497971001515,1,4,3,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,49797,1,0013,1,1,202405497971001311,1,1,1,1,2,,2,58,1,1,23,11,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,839.309013417715
2025,05,49797,1,0013,1,1,202405497971001312,1,2,2,1,2,,1,77,2,2,24,6,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,5,1,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,914.7706423335735
2025,05,49797,1,0013,1,1,202405497971001313,1,3,3,1,2,,2,39,3,3,11,9,1985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,2,13,4,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,2,,,,,,,,,,,,,1,1006.5209850147751
2025,05,49797,1,0013,1,1,202405497971001314,1,4,3,1,2,,2,19,4,4,6,8,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,4,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,2,,,,,,,,,,,,,1,878.2778541068285
