ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_fma25
2025,02,18329,1,0020,1,1,202502183291002011,1,1,1,1,2,,1,68,1,28,4,1956,1,,,,,,,,,,,,,,,1,,9629,8299,2,,3,2,1,1,0,9,8,6,6,8,0,37,,37,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,,1000,,,,,,,1000,1000,1000,1,318.5061942534993
2025,02,18329,1,0020,1,1,202502183291002012,1,2,2,1,2,,2,52,3,13,3,1972,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,290.5453882238367
2025,02,18329,1,0020,1,1,202502183291002013,1,3,3,1,2,,2,23,3,28,12,2001,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,,5212,4773,2,,3,2,1,1,3,0,3,3,3,3,3,18,,18,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,9,1,,,500,,,,,,,500,500,500,1,335.1656048828982
2025,02,18329,1,0020,1,1,202502183291002014,1,4,5,1,2,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,02,18329,1,0020,1,1,202502183291002015,1,5,5,1,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,02,18329,1,0020,1,1,202502183291002016,1,6,5,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,02,18329,1,0023,1,1,202502183291002311,1,1,1,1,2,,2,68,1,12,5,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,290.5453882238367
2025,02,18329,1,0023,1,1,202502183291002312,1,2,2,1,2,,1,64,1,15,3,1960,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,3439,9000,2,,3,2,1,1,3,0,0,0,0,3,3,9,,9,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,5,1,,,791,,,,,,,791,791,791,1,318.5061942534993
2025,02,18329,1,0024,1,1,202502183291002411,1,1,1,1,2,,2,40,1,13,5,1984,1,,,,,,,,,,,,,,,1,,5120,5610,2,,2,2,1,4,0,10,10,10,10,10,10,60,16,76,1,,2,,2,2,,,,,,,,100,20,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,,,2402,866,,100,,20,,3388,3268,3388,1,372.66578663222253
2025,02,18329,1,0024,1,1,202502183291002412,1,2,2,1,2,,1,51,3,13,11,1973,1,,,,,,,,,,,,,,,2,,5120,5610,4,,2,2,1,4,0,10,10,10,10,10,10,60,,60,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,,,,,,,,,,,,1,318.5061942534993
