ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas25
2025,07,1797302,2,0122,1,1,20250717973022012211,1,1,1,1,2,,2,27,1,1,14,10,1997,1,,,,,,,,,,,,,,,,3314,2824,3,5,1,,3,80,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,2500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,2500,,,,,,,,166,2500,2500,2666,1,791.0990470804874
2025,07,1797302,2,0125,1,1,20250717973022012511,1,1,1,1,2,,2,52,1,1,17,1,1973,1,,,,,,,,,,,,,,,,2342,8510,3,2,,,5,1000,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,1400,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1400,,,,,,,,,1400,1400,1400,1,662.6716685350572
2025,07,1797302,2,0125,1,1,20250717973022012512,1,2,2,1,2,,1,62,2,2,1,2,1963,1,,,,,,,,,,,,,,,,8331,4921,1,,3,2,1,2,0,12,12,12,12,12,15,75,,75,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,1,2,2,2,2,2,10,7,1,,,1700,,,,,,,1700,1700,1700,1,733.2734079451852
2025,07,1797302,2,0125,1,1,20250717973022012513,1,3,3,1,2,,1,22,3,3,20,11,2002,1,,,,,,,,,,,,,,,,7231,4520,3,5,3,2,1,3,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,2,300,,,,,,,,,,,,,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1299,,,,,,,,,1299,1299,1299,1,693.6425498115913
2025,07,1797302,2,0125,1,1,20250717973022012514,1,4,3,1,2,,1,17,4,4,18,2,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,693.6425498115913
2025,07,1797302,2,0262,1,1,20250717973022026211,1,1,1,1,2,,1,68,1,1,29,6,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,3,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,733.2734079451852
2025,07,18237,1,0073,1,1,202507182371007311,1,1,1,1,2,,1,91,1,1,25,12,1933,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,4,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,527.8071204995628
2025,07,18237,1,0075,1,1,202507182371007511,1,1,1,1,2,,2,61,1,1,13,4,1964,1,,,,,,,,,,,,,,,,5212,4761,2,,2,2,1,1,4,12,12,12,12,12,6,70,,70,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,550,20,,,,,,570,570,570,1,476.98828488305855
2025,07,18237,1,0077,1,1,202507182371007711,1,1,1,1,2,,1,49,1,1,3,2,1976,1,,,,,,,,,,,,,,,,7212,4290,3,5,1,,4,200,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,4,2500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,2500,,,,,,,,492,2500,2500,2992,1,527.8071204995628
2025,07,18237,1,0077,1,1,202507182371007712,1,2,2,1,2,,2,47,2,2,11,12,1977,1,,,,,,,,,,,,,,,,4132,8219,2,,3,2,1,1,0,0,0,2,2,0,0,4,2,6,1,,2,,2,2,,,,,,,,40,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,120,,,40,,,,160,120,160,1,476.98828488305855
