ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_son25
2025,09,18111,1,0043,1,1,202509181111004311,1,1,1,1,2,,2,46,1,1,10,12,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,595.9742682238758
2025,09,18111,1,0043,1,1,202509181111004312,1,2,2,1,2,,1,46,2,2,7,2,1979,1,,,,,,,,,,,,,,,,4110,2100,3,5,1,,5,1000,0,10,10,10,10,8,0,48,,48,1,,2,,2,2,4,4000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,4000,,,,,,,,999,4000,4000,4999,1,665.9761312293763
2025,09,18111,1,0043,1,1,202509181111004313,1,3,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,09,18111,1,0043,1,1,202509181111004314,1,4,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,09,18111,1,0044,1,1,202509181111004411,1,1,1,1,2,,1,49,1,1,28,1,1976,1,,,,,,,,,,,,,,,,2311,8530,3,5,1,,5,600,0,3,4,4,3,4,3,21,36,57,1,,1,1,1,2,4,3400,,,,2500,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,3400,,,,2500,,,,849,5900,3400,6749,1,665.9761312293763
2025,09,18111,1,0045,1,1,202509181111004511,1,1,1,1,2,,2,61,1,1,2,11,1963,1,,,,,,,,,,,,,,,,2611,8413,3,2,,,5,9882,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,13000,,,,,,,,,,,,,,,1,3,1,1,1,2,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,13000,,,,,,,,50,13000,13000,13050,1,595.9742682238758
2025,09,18111,1,0045,1,1,202509181111004512,1,2,2,1,2,,1,59,2,2,15,10,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,7,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,8,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,665.9761312293763
2025,09,18111,1,0045,1,1,202509181111004513,1,3,3,1,2,,2,28,3,3,31,10,1996,1,,,,,,,,,,,,,,,,2611,8412,3,2,,,5,9882,0,9,9,9,9,9,0,45,,45,1,,2,,2,2,4,3000,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,3000,,,,,,,,,3000,3000,3000,1,699.998868577934
2025,09,18111,1,0045,1,1,202509181111004514,1,4,3,1,2,,2,26,4,4,23,6,1999,1,,,,,,,,,,,,,,,,3521,5813,3,5,1,,2,30,9,9,0,9,9,9,9,54,,54,1,,2,,2,2,4,2600,,,,,,,,,,,,,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,2600,,,,,,,,,2600,2600,2600,1,699.998868577934
2025,09,18111,1,0045,1,1,202509181111004515,1,5,6,1,2,,1,89,5,1,3,1,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,5,2,,2,2,2,2,1,2,10,7,4,,,,,,,,,,,,,1,665.9761312293763
